SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome
0,0.9999998999999999,53,1,0.046651116,0,1,0,0,3000.0
1,0.0,71,0,761.0,3,0,0,0,0.2
1,0.145429323,46,0,0.223276483,7,0,2,0,8325.0
1,0.132812145,29,0,0.41191170299999996,4,0,0,0,2400.0
1,0.0,76,1,0.261610817,4,0,0,0,1700.0
1,0.01272898,40,0,0.192157881,4,0,1,0,3850.0
1,0.057406482,84,0,37.0,2,0,0,0,140.2
1,0.265175719,52,0,0.259290118,6,0,2,0,6000.0
1,0.020086607,76,0,0.010309278,11,0,0,0,3200.0
1,0.001104741,35,0,467.0,6,0,0,0,0.1
1,0.143877076,34,0,0.048829264000000004,8,0,0,0,12000.0
1,0.004160872,74,0,0.0020796670000000003,9,0,0,0,6250.0
1,0.0,42,0,0.22596285,5,0,1,0,33000.0
1,0.9999998999999999,41,0,0.0,0,1,0,0,3300.0
1,0.052673770999999994,68,0,0.10945354300000001,6,0,1,0,6166.0
1,0.291878763,58,0,0.518952447,8,0,0,0,1450.0
1,1.059834604,43,2,0.11609598800000001,4,0,0,0,10542.0
1,0.024898524,48,0,0.24996049899999997,10,0,3,0,12657.0
1,0.027639861,56,0,0.08593916199999999,13,0,0,0,4700.0
1,0.011381651000000001,47,1,0.44782087200000004,8,0,1,0,2500.0
1,0.154466045,37,2,0.355356368,9,0,2,0,13833.0
1,0.030292336,61,0,15.0,5,0,0,0,2070.2
1,0.05537669,67,0,0.021191522999999997,3,0,0,0,2500.0
1,0.432016182,57,0,0.394528548,22,0,1,0,13012.0
1,0.263687913,48,0,0.5773195879999999,11,0,2,0,6692.0
1,0.129245308,68,0,0.246405309,10,0,1,0,8136.0
1,0.9999998999999999,28,0,0.175412294,1,0,0,0,2000.0
1,0.9171675229999999,32,1,0.31187525,3,0,0,1,2500.0
1,0.312396742,63,0,1751.0,14,0,1,0,0.7
1,0.585263047,60,0,8407.0,9,0,3,0,0.2
1,0.111020408,53,0,0.340280806,8,0,3,0,11466.0
1,0.019107129,41,1,0.704650152,16,0,6,0,11504.0
1,0.057815702999999996,48,0,0.157560174,10,0,1,0,14000.0
1,0.465200645,49,0,0.12119676800000001,11,0,2,0,37500.0
1,0.795840832,26,0,0.259600614,2,0,0,0,650.0
1,0.016326711,58,0,0.235583371,5,0,1,0,6710.0
1,0.448851748,41,0,0.253955696,9,0,0,0,6319.0
1,0.98110189,80,0,0.508836076,2,0,0,0,1640.0
1,0.8987179190000001,55,0,0.369142033,12,0,2,0,9708.0
0,0.391962971,42,0,1.180577594,16,0,2,0,3150.0
1,0.310190051,35,0,2253.0,9,0,2,0,0.0
1,0.9999998999999999,54,2,0.073317041,1,1,0,0,4500.0
1,0.562988509,49,0,0.470180428,12,0,2,0,11250.0
1,0.008757683,44,0,0.109824621,5,0,2,0,5872.0
1,0.970397961,46,0,1970.0,9,0,2,0,0.6
1,0.9999998999999999,32,0,0.29395852100000003,3,0,1,0,4435.0
1,0.971932896,50,1,0.291028935,9,0,2,0,8950.0
1,0.9048033040000001,40,3,0.537753223,6,0,1,0,3800.0
1,0.013174671,43,0,0.324110672,5,0,1,0,7083.0
1,0.563955615,34,0,0.091272485,4,0,0,0,1500.0
1,0.815909193,70,0,0.240606252,6,0,0,0,3166.0
1,0.044020595999999995,72,0,0.118179221,16,0,1,0,10500.0
1,0.051603301,69,1,0.48056311,11,0,1,0,6250.0
1,0.858190302,35,0,0.140464884,7,0,0,0,4000.0
0,0.9999998999999999,39,0,0.000608871,0,1,0,0,21350.0
1,0.017563242,87,0,0.0034703679999999997,8,0,0,0,7491.0
1,0.048171257,37,0,0.357495881,6,0,0,0,1820.0
1,0.06322913,70,0,0.029576339,4,0,0,0,1250.0
1,0.18918508399999998,60,0,0.036515474,4,0,0,0,6106.0
1,1.671105193,52,3,0.513250883,8,3,2,1,4527.0
1,0.025608325,69,0,0.334583177,10,0,3,0,8000.0
1,0.697717047,43,0,0.47629796799999996,5,0,1,0,3100.0
1,0.13895353800000002,61,0,0.036245469,4,0,0,0,8000.0
1,0.008223758000000001,64,0,1682.0,19,1,1,0,0.0
1,1.265279794,43,0,0.44680399200000004,5,0,0,0,4708.0
1,0.071442351,56,3,3032.0,12,1,2,3,0.4
1,0.0,44,0,0.0,3,0,0,0,6828.0
1,0.102985812,58,0,4293.0,6,0,2,0,0.0
1,0.484028665,40,0,0.71963412,5,0,1,0,4700.0
1,0.601231514,31,0,4990.0,12,0,2,0,0.0
1,0.002131837,64,0,0.000848896,8,0,0,0,5889.0
1,0.119105818,74,0,100.0,4,0,0,0,0.1
1,0.0,41,0,0.266242617,8,0,1,0,2200.0
1,0.48032723,27,0,139.0,3,0,0,0,0.0
1,0.394303516,45,1,0.599394816,9,0,3,0,7600.0
1,0.9902980370000001,39,0,0.25699920000000004,4,0,0,0,8750.0
1,0.00491283,57,0,732.0,2,0,1,0,0.7
1,0.150876703,39,0,1432.5,7,0,2,0,1.0
1,0.537604244,39,0,5747.0,10,0,4,0,0.1
1,0.019455464,95,0,10.0,7,0,0,0,90.9
1,0.041084634,49,0,0.045497830999999996,5,0,1,0,9450.0
1,0.0,35,0,0.7974082859999999,9,0,5,0,5478.0
1,0.004922698,69,0,1.302521942,7,0,3,0,9000.0
1,0.0,46,1,0.24708171199999998,10,0,1,0,6681.0
1,0.006430509,66,0,0.17464726100000003,22,0,1,0,9000.0
1,0.170103002,36,0,0.138461538,8,0,0,0,7734.0
1,0.10626392400000001,40,0,0.028558052,4,0,0,0,2135.0
1,0.11685484,39,1,0.366402771,9,0,1,0,8083.0
1,0.001733102,86,0,0.0,1,0,0,0,2139.0
1,0.34589190000000003,45,1,0.118769883,4,0,0,0,3771.0
1,0.013224669,80,0,0.003004808,3,0,0,0,4991.0
0,0.508252018,51,2,0.588766356,12,0,4,0,17500.0
1,0.349776947,63,0,0.668812171,8,0,1,0,3417.0
1,0.385173627,55,0,892.0,9,0,0,0,0.0
1,0.890120565,43,0,0.225606854,3,0,0,0,2100.0
1,0.146563373,57,0,443.0,3,0,0,0,0.1
1,0.161302426,36,0,0.32327734,9,0,1,0,8750.0
1,0.035311497000000004,51,0,0.231751421,11,0,4,0,13548.0
1,0.060286751,59,2,0.22651448600000001,15,0,1,0,10250.0
1,0.06571542400000001,60,0,1207.0,11,0,1,1,0.5
1,0.9999998999999999,35,0,0.37102866,5,0,1,0,4500.0
1,0.028359433,54,0,42.0,4,0,0,0,0.2
0,0.299128625,50,1,0.376583237,10,0,1,0,16500.0
1,0.11021479099999999,42,0,0.289661654,11,0,3,0,10639.0
0,0.7354705779999999,46,1,0.42529046200000004,6,0,1,0,3700.0
1,0.470881046,39,0,0.22070798,8,0,2,0,35000.0
1,0.002494662,79,0,0.004798081,7,0,0,0,2500.0
1,0.023205947999999997,66,0,0.006156075,5,0,0,0,5522.0
0,1.130492676,68,0,1719.0,7,0,2,0,0.3
1,0.049350432,45,0,0.388307258,9,0,1,0,8500.0
1,0.604395604,36,0,0.710350955,18,0,0,0,2250.0
1,0.9999998999999999,25,0,0.153580673,2,0,0,0,2317.0
0,0.9999998999999999,62,1,1323.0,6,0,2,0,0.0
1,0.11094445300000001,37,0,677.0,4,0,0,0,0.0
1,0.051916832,55,0,0.21437054600000002,9,0,1,0,6735.0
1,0.9999998999999999,61,0,0.18165225,4,0,3,0,12600.0
1,0.08410321800000001,33,0,0.031992002,5,0,0,0,4000.0
1,0.640371686,70,0,0.245011135,16,0,2,0,22900.0
1,0.15615342699999998,86,0,0.140299059,3,0,1,0,5416.0
1,0.0,53,0,2025.0,3,0,1,0,0.1
1,0.204993788,51,0,0.444240384,10,0,1,0,9800.0
1,0.46464249399999996,50,0,4171.0,13,0,2,0,0.0
1,0.08046199799999999,79,0,61.0,5,0,0,0,0.1
1,0.021139837,90,0,28.0,3,0,0,0,0.0
1,0.40791837200000003,42,0,0.746319462,10,0,5,0,11750.0
1,0.7126146059999999,44,1,0.531178095,10,0,1,0,8691.0
1,0.9999998999999999,26,0,0.168426104,3,0,0,0,2083.0
